user_id,question_attempts,unique_questions,correct_answers,accuracy,lectures_watched,lecture_sessions,total_lecture_time_seconds,avg_lecture_duration_seconds,avg_completion,median_completion,explanation_sessions,explanations_viewed,total_explanation_time_seconds,avg_explanation_duration_seconds,skills_attempted,avg_skill_mastery,min_skill_mastery,max_skill_mastery,lecture_time_hours,questions_per_lecture,correct_rate_per_attempt
49,268,260,192.0,0.7164179104477612,6.0,9.0,1560.266,173.3628888888889,0.719098198980387,1.0,275.0,184.0,12735.81,46.31203636363636,130,0.7377339692942374,0.0,1.0,0.4334072222222222,44.666666666666664,0.7164179104477612
50,7445,4123,6230.0,0.8368032236400269,93.0,128.0,40946.704,319.896125,0.8067320425412029,1.0,4279.0,1814.0,217330.629,50.79005118018228,172,0.787144402941647,0.0,1.0,11.374084444444444,80.05376344086021,0.8368032236400269
51,424,384,317.0,0.7476415094339622,6.0,7.0,1260.1970000000001,180.02814285714288,0.9126951469583048,0.9379812030075187,432.0,376.0,18130.225,41.96811342592592,132,0.7118310131992742,0.0,1.0,0.3500547222222223,70.66666666666667,0.7476415094339622
52,144,121,91.0,0.6319444444444444,10.0,12.0,1931.863,160.98858333333334,0.7652672957199133,1.0,140.0,121.0,1533.343,10.95245,82,0.674690282617112,0.0,1.0,0.5366286111111112,14.4,0.6319444444444444
53,1124,1028,811.0,0.7215302491103203,36.0,42.0,10005.175,238.21845238095236,0.9210739033693406,1.0,1124.0,1017.0,18651.428,16.593797153024912,172,0.7123355462268868,0.0,1.0,2.7792152777777774,31.22222222222222,0.7215302491103203
54,99,98,67.0,0.6767676767676768,2.0,2.0,204.101,102.0505,0.5395411392405063,0.5395411392405063,103.0,92.0,1313.386,12.751320388349514,76,0.7073400405637248,0.0,1.0,0.05669472222222222,49.5,0.6767676767676768
55,283,272,189.0,0.6678445229681979,2.0,2.0,311.723,155.8615,0.8797426900584795,0.8797426900584795,288.0,260.0,8548.875,29.68359375,113,0.6770004370981344,0.0,1.0,0.08658972222222222,141.5,0.6678445229681979
56,6,6,1.0,0.16666666666666666,,,,,,,,,,,5,0.1,0.0,0.5,,,0.16666666666666666
59,30,30,20.0,0.6666666666666666,1.0,1.0,11.867,11.867,0.03490294117647059,0.03490294117647059,21.0,20.0,422.645,20.12595238095238,39,0.782051282051282,0.0,1.0,0.003296388888888889,30.0,0.6666666666666666
60,6,6,3.0,0.5,,,,,,,,,,,12,0.625,0.0,1.0,,,0.5
61,69,65,42.0,0.6086956521739131,2.0,3.0,1058.394,352.798,0.8222904483430798,1.0,127.0,103.0,4576.455,36.03507874015748,52,0.6730443607423245,0.0,1.0,0.29399833333333336,34.5,0.6086956521739131
62,10,10,8.0,0.8,,,,,,,10.0,10.0,150.903,15.0903,7,0.8571428571428571,0.5,1.0,,,0.8
64,17,17,6.0,0.35294117647058826,3.0,3.0,920.533,306.84433333333334,0.9346802368424932,0.9979415041782731,9.0,9.0,441.723,49.080333333333336,27,0.42407407407407405,0.0,1.0,0.2557036111111111,5.666666666666667,0.35294117647058826
65,40,37,30.0,0.75,1.0,1.0,128.678,128.678,1.0,1.0,33.0,31.0,494.096,14.972606060606061,39,0.787973137973138,0.0,1.0,0.03574388888888889,40.0,0.75
66,8,8,5.0,0.625,1.0,1.0,63.235,63.235,0.3259536082474227,0.3259536082474227,,,,,8,0.625,0.0,1.0,0.017565277777777777,8.0,0.625
67,4652,3739,3133.0,0.6734737747205503,52.0,53.0,10071.637,190.03088679245283,0.8147025484670992,0.9676865117367894,3357.0,2426.0,149863.962,44.64222877569258,180,0.6819406985287149,0.0,1.0,2.7976769444444445,89.46153846153847,0.6734737747205503
68,9,9,5.0,0.5555555555555556,,,,,,,,,,,15,0.45,0.0,1.0,,,0.5555555555555556
69,11,11,3.0,0.2727272727272727,,,,,,,,,,,13,0.48717948717948717,0.0,1.0,,,0.2727272727272727
70,31,31,10.0,0.3225806451612903,1.0,1.0,41.527,41.527,0.11599720670391062,0.11599720670391062,24.0,23.0,369.254,15.385583333333335,40,0.32976190476190476,0.0,1.0,0.011535277777777778,31.0,0.3225806451612903
71,6,6,3.0,0.5,,,,,,,,,,,5,0.4,0.0,1.0,,,0.5
72,45,45,24.0,0.5333333333333333,,,,,,,43.0,37.0,556.78,12.948372093023256,29,0.5344827586206896,0.0,1.0,,,0.5333333333333333
73,46,46,37.0,0.8043478260869565,2.0,2.0,169.252,84.626,0.516375,0.516375,48.0,40.0,947.6469999999999,19.74264583333333,54,0.8656672545561435,0.0,1.0,0.04701444444444445,23.0,0.8043478260869565
74,71,61,39.0,0.5492957746478874,1.0,1.0,156.216,156.216,0.6273734939759037,0.6273734939759037,66.0,52.0,889.563,13.478227272727272,58,0.5256732348111658,0.0,1.0,0.04339333333333333,71.0,0.5492957746478874
75,15,15,10.0,0.6666666666666666,,,,,,,4.0,4.0,74.013,18.50325,15,0.6444444444444444,0.0,1.0,,,0.6666666666666666
76,879,806,418.0,0.47554038680318544,37.0,45.0,11351.578,252.25728888888887,0.8989296645684745,1.0,600.0,540.0,5583.319,9.305531666666667,166,0.5284433090631968,0.0,1.0,3.153216111111111,23.756756756756758,0.47554038680318544
77,8,8,5.0,0.625,,,,,,,,,,,6,0.611111111111111,0.0,1.0,,,0.625
78,23,23,15.0,0.6521739130434783,3.0,4.0,524.586,131.1465,0.7835844244367209,0.8339607951821668,17.0,17.0,286.349,16.844058823529412,30,0.6333333333333333,0.0,1.0,0.14571833333333334,7.666666666666667,0.6521739130434783
79,12,12,4.0,0.3333333333333333,1.0,1.0,233.213,233.213,1.0,1.0,4.0,4.0,392.63,98.1575,21,0.30158730158730157,0.0,1.0,0.06478138888888889,12.0,0.3333333333333333
80,156,154,91.0,0.5833333333333334,,,,,,,153.0,147.0,1025.785,6.704477124183007,90,0.6312823725981621,0.0,1.0,,,0.5833333333333334
81,1170,842,794.0,0.6786324786324787,44.0,54.0,14859.821,275.18187037037035,0.8235821932447847,1.0,1254.0,813.0,45332.5,36.150318979266345,170,0.7217445647062055,0.0,1.0,4.127728055555555,26.59090909090909,0.6786324786324787
82,2108,1821,1556.0,0.7381404174573055,113.0,143.0,33846.918,236.69173426573425,0.8846032591477526,1.0,2122.0,1760.0,40761.871,19.20917577756833,184,0.7585238369111139,0.0,1.0,9.401921666666667,18.654867256637168,0.7381404174573055
83,95,94,56.0,0.5894736842105263,2.0,2.0,289.004,144.502,0.5874234261967062,0.5874234261967062,85.0,83.0,3082.828,36.268564705882355,77,0.6005462791177077,0.0,1.0,0.0802788888888889,47.5,0.5894736842105263
84,166,154,110.0,0.6626506024096386,27.0,29.0,20793.709,717.024448275862,0.9235706013315493,1.0,119.0,106.0,137749.614,1157.559781512605,89,0.648312876642556,0.0,1.0,5.776030277777777,6.148148148148148,0.6626506024096386
85,9,9,6.0,0.6666666666666666,,,,,,,,,,,11,0.5,0.0,1.0,,,0.6666666666666666
86,104,91,82.0,0.7884615384615384,16.0,17.0,4477.041,263.3553529411765,1.0,1.0,140.0,109.0,3843.723,27.455164285714286,63,0.7997332505817059,0.0,1.0,1.2436225,6.5,0.7884615384615384
87,157,153,98.0,0.6242038216560509,2.0,2.0,49.592,24.796,0.08949897704510643,0.08949897704510643,197.0,149.0,2083.338,10.575319796954316,74,0.6404761904761904,0.0,1.0,0.013775555555555555,78.5,0.6242038216560509
88,7,7,2.0,0.2857142857142857,,,,,,,,,,,6,0.25,0.0,1.0,,,0.2857142857142857
89,180,173,124.0,0.6888888888888889,4.0,4.0,467.356,116.839,0.18534703196347033,0.18534703196347033,198.0,168.0,8848.699,44.690398989898995,106,0.7064361769111989,0.0,1.0,0.1298211111111111,45.0,0.6888888888888889
90,79,78,64.0,0.810126582278481,1.0,1.0,282.601,282.601,1.0,1.0,74.0,72.0,906.998,12.25672972972973,82,0.8287469255995081,0.0,1.0,0.07850027777777778,79.0,0.810126582278481
91,155,155,102.0,0.6580645161290323,2.0,2.0,414.549,207.2745,0.9498957345971564,0.9498957345971564,151.0,151.0,4607.301,30.511927152317885,81,0.6920194003527337,0.0,1.0,0.11515249999999999,77.5,0.6580645161290323
93,11,11,5.0,0.45454545454545453,,,,,,,4.0,4.0,63.753,15.93825,8,0.3958333333333333,0.0,1.0,,,0.45454545454545453
94,10,10,3.0,0.3,1.0,1.0,285.82,285.82,1.0,1.0,3.0,3.0,139.564,46.52133333333333,14,0.35714285714285715,0.0,1.0,0.07939444444444445,10.0,0.3
97,26,26,14.0,0.5384615384615384,1.0,1.0,192.614,192.614,1.0,1.0,15.0,15.0,264.697,17.646466666666665,27,0.5629629629629629,0.0,1.0,0.05350388888888889,26.0,0.5384615384615384
98,5227,4681,4368.0,0.8356609910082266,71.0,102.0,23154.053,227.00051960784313,0.708957986505054,1.0,3189.0,2496.0,525289.364,164.71914832235808,186,0.8384161466265624,0.0,1.0,6.431681388888889,73.61971830985915,0.8356609910082266
99,26,25,20.0,0.7692307692307693,,,,,,,18.0,18.0,242.091,13.4495,39,0.7461334961334961,0.0,1.0,,,0.7692307692307693
100,22,22,11.0,0.5,2.0,2.0,624.497,312.2485,1.0,1.0,14.0,14.0,535.313,38.236642857142854,30,0.6833333333333333,0.0,1.0,0.17347138888888888,11.0,0.5
101,7,7,4.0,0.5714285714285714,1.0,1.0,506.539,506.539,1.0,1.0,,,,,7,0.5714285714285714,0.0,1.0,0.14070527777777778,7.0,0.5714285714285714
102,28,28,8.0,0.2857142857142857,1.0,1.0,112.449,112.449,0.506527027027027,0.506527027027027,22.0,22.0,665.572,30.253272727272726,44,0.34415168165168164,0.0,1.0,0.031235833333333334,28.0,0.2857142857142857
103,7,7,6.0,0.8571428571428571,,,,,,,,,,,14,0.7142857142857143,0.0,1.0,,,0.8571428571428571
104,6,6,2.0,0.3333333333333333,,,,,,,,,,,5,0.4,0.0,1.0,,,0.3333333333333333
105,6,6,0.0,0.0,,,,,,,,,,,6,0.0,0.0,0.0,,,0.0
106,8,8,4.0,0.5,,,,,,,1.0,1.0,62.52,62.52,18,0.5,0.0,1.0,,,0.5
107,20,20,9.0,0.45,15.0,18.0,4176.22,232.01222222222225,0.854744257484819,1.0,21.0,16.0,2005.792,95.51390476190475,29,0.5010262725779967,0.0,1.0,1.1600611111111112,1.3333333333333333,0.45
108,10,9,2.0,0.2,,,,,,,,,,,11,0.1212121212121212,0.0,1.0,,,0.2
111,8,8,3.0,0.375,1.0,1.0,188.149,188.149,1.0,1.0,1.0,1.0,98.714,98.714,18,0.3333333333333333,0.0,1.0,0.05226361111111111,8.0,0.375
112,11,11,8.0,0.7272727272727273,1.0,1.0,135.832,135.832,1.0,1.0,4.0,4.0,103.227,25.80675,16,0.6979166666666666,0.0,1.0,0.03773111111111111,11.0,0.7272727272727273
113,32,30,16.0,0.5,2.0,2.0,564.364,282.182,0.9354275593402486,0.9354275593402486,26.0,22.0,542.963,20.883192307692305,41,0.5463414634146341,0.0,1.0,0.15676777777777778,16.0,0.5
114,4,4,1.0,0.25,,,,,,,,,,,3,0.3333333333333333,0.0,1.0,,,0.25
115,566,543,302.0,0.5335689045936396,59.0,86.0,16129.022,187.54676744186048,0.678083498727159,0.7595371747211896,449.0,419.0,10181.812,22.676641425389754,157,0.538529002372786,0.0,1.0,4.480283888888889,9.59322033898305,0.5335689045936396
116,8,8,2.0,0.25,,,,,,,1.0,1.0,13.241,13.241,17,0.2549019607843137,0.0,1.0,,,0.25
117,696,660,467.0,0.6709770114942529,2.0,2.0,214.29399999999998,107.14699999999999,0.6028799181329423,0.6028799181329423,690.0,646.0,9346.58,13.545768115942028,123,0.7236637550865493,0.0,1.0,0.059526111111111106,348.0,0.6709770114942529
118,1262,1182,876.0,0.694136291600634,59.0,64.0,10891.954,170.18678125,0.6916594302617501,0.8049972690387016,1016.0,902.0,20146.498,19.82923031496063,172,0.688684686573276,0.0,1.0,3.025542777777778,21.389830508474578,0.694136291600634
119,7030,4350,5740.0,0.8165007112375533,107.0,123.0,23485.152000000002,190.93619512195124,0.7579236449140081,1.0,4170.0,2356.0,218566.409,52.41400695443645,186,0.7977733414042989,0.0,1.0,6.523653333333334,65.70093457943925,0.8165007112375533
120,52,51,36.0,0.6923076923076923,,,,,,,40.0,40.0,1278.1,31.952499999999997,56,0.6696261080189652,0.0,1.0,,,0.6923076923076923
121,123,121,81.0,0.6585365853658537,,,,,,,127.0,115.0,3095.906,24.377212598425196,84,0.6682966818276921,0.0,1.0,,,0.6585365853658537
122,10,10,8.0,0.8,,,,,,,,,,,10,0.9,0.5,1.0,,,0.8
123,102,100,77.0,0.7549019607843137,9.0,10.0,1287.8880000000001,128.7888,0.5424243456742691,0.6103979256734287,97.0,94.0,1772.005,18.268092783505157,80,0.783856456043956,0.0,1.0,0.3577466666666667,11.333333333333334,0.7549019607843137
124,12,12,3.0,0.25,,,,,,,1.0,1.0,14.471,14.471,14,0.16666666666666666,0.0,1.0,,,0.25
125,35,31,12.0,0.34285714285714286,2.0,2.0,595.9110000000001,297.95550000000003,1.0,1.0,27.0,23.0,487.621,18.060037037037038,29,0.33497536945812806,0.0,1.0,0.16553083333333335,17.5,0.34285714285714286
126,1481,1198,994.0,0.6711681296421337,13.0,15.0,2608.6820000000002,173.91213333333334,0.7707114101466814,0.9682983606557376,1576.0,1204.0,41305.466,26.209052030456853,149,0.6580192255114484,0.0,1.0,0.7246338888888889,113.92307692307692,0.6711681296421337
127,266,237,154.0,0.5789473684210527,10.0,12.0,5605.365,467.11375,0.8832002347417841,1.0,182.0,144.0,7413.4400000000005,40.73318681318682,120,0.6063599214539028,0.0,1.0,1.5570458333333332,26.6,0.5789473684210527
128,19,19,12.0,0.631578947368421,6.0,6.0,1578.035,263.0058333333333,0.8557887107360526,1.0,14.0,12.0,618.182,44.155857142857144,20,0.675,0.0,1.0,0.4383430555555556,3.1666666666666665,0.631578947368421
130,12,12,7.0,0.5833333333333334,1.0,1.0,16.771,16.771,0.049038011695906436,0.049038011695906436,5.0,5.0,50.216,10.0432,22,0.571969696969697,0.0,1.0,0.004658611111111112,12.0,0.5833333333333334
131,404,317,253.0,0.6262376237623762,66.0,83.0,14990.715,180.61102409638553,0.5654726750268592,0.5743830639165622,739.0,311.0,19620.27,26.549756427604873,101,0.5562935231252063,0.0,1.0,4.1640875,6.121212121212121,0.6262376237623762
132,8,7,7.0,0.875,,,,,,,,,,,8,0.9375,0.5,1.0,,,0.875
133,81,77,44.0,0.5432098765432098,,,,,,,73.0,65.0,809.785,11.092945205479452,65,0.5931623931623932,0.0,1.0,,,0.5432098765432098
134,6,6,3.0,0.5,,,,,,,,,,,10,0.75,0.0,1.0,,,0.5
136,9,9,6.0,0.6666666666666666,,,,,,,,,,,7,0.7142857142857143,0.0,1.0,,,0.6666666666666666
